unitcode,suggested_units
CITS1401,Big Data Infrastructure and Technologies
CITS1402,General principles and concepts in Data Management and organisation
STAT2401,Statistical methods for data analysis
STAT2402,Statistical methods for data analysis
CITS4009,Cloud Computing technologies for Big Data and Data Analytics
CITS4012,Text Data Mining
CITS4407,Infrastructure and platforms for Data Science applications
CITS5504,Data Mining
CITS5508,Machine Learning
CITS5553,Project Management
STAT4064,Predictive Analytics
STAT4066,Statistical methods for data analysis
BUSN5003,Data Governance
CITS4402,Research Methods
CITS4403,Information systems
CITS4404,Data Science (Big Data) applications design
CITS4419,Data and Applications security
CITS5014,Research Methods
CITS5015,Research Methods
CITS5503,Cloud Computing technologies for Big Data and Data Analytics
CITS5505,Project Management
CITS5506,Big Data Infrastructure and Technologies
CITS5507,Big Data storage (large scale)
GENG5505,Project Management
INMT5526,Business Analytics organisation and enterprise management
MGMT5504,Business Analytics organisation and enterprise management
PHYS4021,Machine Learning
PUBH4401,Statistical methods for data analysis
PUBH5769,Statistical methods for data analysis
PUBH5785,Data Mining
PUBH5802,Data Mining
STAT4063,Computational modelling simulation and optimisation
STAT4065,Computational modelling simulation and optimisation
STAT5061,Statistical methods for data analysis
