unitcode,knowledge_units
CITS4009,Data mining and knowledge discovery
CITS4009,Exploratory and confirmatory data analysis
CITS4009,"Big Data algorithms for data ingest, pre-processing, and visualisation"
CITS4009,NoSQL databases
CITS4009,Data Mining
CITS5504,"Data architectures (OLAP, OLTP, ETL)"
CITS5504,"Data Modelling, Databases and Database Management Systems"
CITS5504,NoSQL databases
CITS5504,Data Models and Query Languages
CITS5504,Database design and models
CITS5504,Database administration
CITS5504,Data warehouses
CITS5504,Data Warehousing and Business Intelligence
CITS5504,"Metadata, linked data, provenance"
CITS5504,Machine Learning theory and algorithms
CITS5504,Unsupervised Machine Learning
CITS5504,Data mining and knowledge discovery
CITS5504,Graph data analytics
CITS5504,"Feature selection, Apriori algorithm"
CITS4012,Natural Language Processing
CITS4012,Sentiments analysis
CITS4012,Information Extraction
CITS4012,Data mining and text analytics
CITS4012,"Text analytics including statistical, linguistic, and structural techniques to analyse structured and unstructured data"
CITS4407,"Research data infrastructure, Open Science, Open Data, Open Access, ORCID"
CITS4407,Data infrastructure compliance and certification
CITS4407,"Big Data (large scale) storage and filesystems (HDFS, Ceph, etc)"
CITS5508,Machine Learning theory and algorithms
CITS5508,Supervised Machine Learning
CITS5508,Unsupervised Machine Learning
CITS5508,Reinforced learning
CITS5508,Classification methods
CITS5508,Artificial Intelligence
CITS5553,Project Integration Management PMI-BoK selected KAs
CITS5553,Project Scope Management
CITS5553,Project Quality
CITS5553,Project Risk Management
CITS5553,Exploratory and confirmatory data analysis
CITS5553,"Big Data algorithms for data ingest, pre-processing, and visualisation"
CITS5553,Data selection and quality evaluation
CITS5553,Data lifecycle
STAT4064,"Statistical paradigms (regression, time series, dimensionality, clusters)"
STAT4064,Predictive modeling and analytics
STAT4064,Inferential and predictive statistics
STAT4064,Machine Learning for predictive analytics
STAT4064,Generalised linear models
STAT4064,Regression and Multi Analysis
STAT4064,Time series analysis and forecasting
STAT4064,Deploying and refining predictive models
STAT4064,"Programming languages for Big Data analytics: R, python, Pig, Hive, others"
STAT4066,"Probabilistic representations (causal networks, Bayesian analysis, Markov nets)"
STAT4066,Frequentist and Bayesian statistics
STAT4066,"Markov models, Markov networks"
BUSN5003,Models and languages for complex interlinked data presentation and visualisation
BUSN5003,"Programming languages for Big Data analytics: R, python, Pig, Hive, others"
BUSN5003,"Business Analytics and Business Intelligence: Data, Models (statistical) and Decisions"
BUSN5003,Data Analysis and Statistics
CITS4402,Machine Learning theory and algorithms
CITS4402,Supervised Machine Learning
CITS4402,Probability & Statistics
CITS4402,"Statistical paradigms (regression, time series, dimensionality, clusters)"
CITS4402,Multimedia information systems
CITS4402,"Research methodology, paradigms and research cycle"
CITS4402,Modelling and experiment planning
CITS4403,Modelling and simulation theory and techniques (general and domain oriented)
